"MuseumCode","Barcode","Collectors","AdditionalCollectors","FieldNumber","Date","CalcFullName","LocalityNotes","Latitude","Longitude","LLResolution","QDS","LLChecked","DescriptionText"
"PRE","PRE0212191-0","Acocks, JPH","","17424","10/15/1953","Cotula leptalea DC.","CALVINIA DIV.; LOKENBURG; THEMEDA VALLEY","-31.6951841600","19.1896762400","2k","3119CA","True",""
"PRE","PRE0306336-0","Acocks, JPH","Hafstrom, AHF","2022","12/6/1938","Erica coccinea L. subsp. coccinea","CAPE AGULHAS","-34.8255130900","20.0136119300","2k","3420CC","True",""
"PRE","PRE0423112-0","Acocks, JPH","","11660","8/16/1945","Crassula orbicularis L.","ZULULAND; ENTONJANENI.","-28.4798088700","31.3320256700","2k","2831AD","True",""
"PRE","PRE0409646-0","Acocks, JPH","","1630","01/1937","Galenia prostrata G.Schellenb.","KIMBERLEY DIV.; VOORUITZICHT","-28.7090630300","24.6972543400","2k","2824DA","True",""
"PRE","PRE0110729-0","Acocks, JPH","","21632","10/23/1960","Ledebouria revoluta (L.f.) Jessop","RIVERSDALE DIST.; GOURITZ RIVER BRIDGE","-34.1857520000","21.7533680000","1000m","3421BB","True",""
"PRE","PRE0231787-0","Acocks, JPH","Hafstrom, AHF","2284","12/7/1938","Macledium spinosum (L.) S.Ortiz","BREDASDORP; OUTSKIRTS.","-34.5288470000","20.0642130000","2k","3420CA","True",""
"PRE","PRE0226416-0","Acocks, JPH","","22191","3/28/1962","Berkheya purpurea (DC.) Mast.","MATATIELE DIST; ONGELUKSNEK PASS","-30.3363765000","28.2528765000","2k","3028AD","True",""
"PRE","PRE0347029-0","Acocks, JPH","","12303","1/14/1946","Aspidoglossum glabrescens (Schltr.) Kupicha","MIDDELBURG DIST.; 14 MI. SSE. OF MIDDELBURG","-25.9013780000","29.6066190000","2k","2529DC","True",""
"PRE","PRE0167350-0","Acocks, JPH","","16734","1/17/1953","Pluchea bojeri (DC.) Humbert","NELSPRUIT DIST.; KRUGER NAT. PARK; 20 MI. N. OF CROCODILE RIVER BRIDGE  ON SABIE RIVER BANKS","-25.1518125000","31.9369043000","2k","2531BB","True",""
"PRE","PRE0054086-0","Acocks, JPH","","2343","6/25/1937","Asparagus suaveolens Burch.","GRIQUALAND WEST; HAY DIV.; N. OF WITSAND","-28.5223160000","22.4897580000","5k","2822CB","True",""
"PRE","PRE0458161-0","Acocks, JPH","","17631","3/18/1954","Crassula tetragona subsp. acutifolia (Lam.) Toelken","EASTERN CAPE; CALVINIA DIV.; 18,5 MI. S. OF BEDFORD","-32.9223337000","26.0960724300","2k","3226CC","True",""
"PRE","PRE0198826-0","Acocks, JPH","","18865","7/22/1956","Othonna leptodactyla Harv.","CALVINIA DIV.; LOKENBURG","-31.6951841600","19.1896762400","10k","3119CA","True",""
"PRE","PRE0228966-0","Acocks, JPH","","22120","3/21/1962","Berkheya maritima J.M.Wood & M.S.Evans","POLELA DIST.; DONNYBROOK STA.; 0.8 MI. SSE. OF DONNYBROOK STA.","-29.9310100000","29.8775270000","2k","2929DD","True",""
"PRE","PRE0987523-0","Acocks, JPH","","15990","8/21/1951","Carex burkei (C.B.Clarke) Luceno & Martin-Bravo","Middelburg District. 16 m NW by W of Middelburg.","-31.3859700000","24.8102420000","2k","3124BD","True","Plant height: 3 ft. Big tufts with colour and habit of Miscanthidium. Full-grown inflorescence, 3' high."
"PRE","PRE0223357-0","Acocks, JPH","","23703","9/12/1965","Cullumia bisulca (Thunb.) Less.","CERES DIV.; PIENAARS KLOOF; POORT N. OF PIENAARSKLOOF","-33.1810331900","20.1606501000","2k","3320AA","True",""
"PRE","PRE0304000-0","Acocks, JPH","","15548","9/30/1949","Embelia ruminata (E.Mey. ex A.DC.) Mez","BATHURST DIV.","","","","","",""
"PRE","PRE0268434-0","Acocks, JPH","","16023","9/3/1951","Muraltia juniperifolia (Poir.) DC.","UNIONDALE DIV.; 8 MI. S.W. OF UNIONDALE HILLS","-33.6882160000","23.0031420000","2k","3323CA","True","Shrublet, 30 - 46 cm high. Flowers bright pink."
"PRE","PRE0012036-0","Acocks, JPH","","17593","2/19/1954","Tricholaena capensis (Licht. ex Roem. & Schult.) Nees subsp. capensis","CARNARVON DIST.; CARNARVON; 5.25 MI. N. OF CARNAVON","-30.8953730000","22.1297270000","2k","3022CC","True",""
"NH","NH0125260-0","Acocks, JPH","","13786","6/18/1947","Tarenna pavettoides (Harv.) Sim subsp. pavettoides","Umzinto; Beacon Hill; 3 miles North of Beacon Hill.","-30.3816850500","30.5751584100","2k","3030BC","True",""
"PRE","PRE0213907-0","Acocks, JPH","","18345","7/4/1955","Senecio carnosus Thunb.","BATHURST DIST.; KARIEGA MT.","-33.6780060000","26.6844740000","2k","3326DA","True",""
"PRE","PRE0234410-0","Acocks, JPH","","11434","4/19/1945","Leonotis ocymifolia var. raineriana (Vis.) Iwarsson","WEENEN COUNTY; DRAYCOTT HILL","-28.9969137400","29.7068321100","2k","2829DC","True",""
"PRE","PRE0290160-0","Acocks, JPH","Hafstrom, AHF","788","10/24/1938","Basananthe triloba (Bolus) W.J.de Wilde","NELSPRUIT DIST.","-25.3750000000","30.8750000000","1/4dg","2530BD","",""
"PRE","PRE0357316-0","Acocks, JPH","Hafstrom, AHF","251","10/2/1938","Hypoxis iridifolia Baker","WATERBERG DIST; WARMBATHS","-24.8841030000","28.2954560000","5k","2428CD","True",""
"NH","NH0003483B-0","Acocks, JPH","","101606","3/6/1944","Tephrosia purpurea subsp. leptostachya (DC.) Brummitt var. leptostachya","Nkasini Estates","-28.7660860000","30.1708230000","2k","2830CC","True",""
"PRE","PRE0293012-0","Acocks, JPH","","10880","12/16/1944","Rhoicissus rhomboidea (E.Mey. ex Harv.) Planch.","NGOME; UMZUMBI VALLEY","-30.5955250800","30.5364750300","2k","3030DA","True","High climber with dark green glossy leaves."
"PRE","PRE0388155-0","Acocks, JPH","","21352","8/9/1960","Lotononis maximiliani Schltr. ex De Wild.","RIVERSDALE DIV.; THE FISHERIES; DUNE BUSH","-34.3538900000","21.8802800000","2k","3421BD","True",""
"PRE","PRE0121846-0","Acocks, JPH","","12475","2/18/1946","Ipomoea oenotherae (Vatke) Hallier f. var. oenotherae","LICHTENBURG; 22 MI. NE. OF LICHTENBURG","-25.9900600000","26.3720009400","2k","2526CD","True",""
"PRE","PRE0377574-0","Acocks, JPH","","17971","3/10/1955","Thesium confine Sond.","MIDDELBURG DIST.; GROOTFONTEIN; ABOVE CAMP 6","-31.4717326000","25.0280170000","2k","3125AC","True","Glaucous."
"PRE","PRE0286422-0","Acocks, JPH","","12328","1/17/1946","Hibiscus sidiformis Baill.","Kranskop district; near Jameson's Drift","-28.7778030300","30.9028656300","2k","2830DD","True",""
"PRE","PRE0075840-0","Acocks, JPH","","11619","8/13/1945","Apodolirion buchananii (Baker) Baker","KRANSKOP DIST.; NR. KRANSKOP","-28.9688120000","30.8599590000","5k","2830DD","True",""
"PRE","PRE0136604-0","Acocks, JPH","","9169","10/9/1942","Isoglossa eckloniana (Nees) Lindau","STUTTERHEIM DIV.; KOLOGHA FOR.","-32.5364425100","27.3773841000","2k","3227CB","True",""
"NH","NH0121446-0","Acocks, JPH","","12965","10/9/1946","Ledebouria floribunda (Baker) Jessop","Eshowe; 4 miles North North East of Eshowe.","-28.8300830000","31.5178880000","2k","2831DC","True",""
"PRE","PRE0152829-0","Acocks, JPH","","9489","12/19/1942","Galopina circaeoides Thunb.","STUTTERHEIM DIV.; DOHNE","-32.5222973400","27.4528021000","2k","3227CB","True",""
"PRE","PRE0300206-0","Acocks, JPH","Hafstrom, AHF","1047","9/3/1938","Erica inaequalis (Klotzsch) E.G.H.Oliv.","GRAAF REINET DIV.; ELANDS KLOOF PASS","-32.0966350000","24.7999500000","2k","3224BB","True",""
"PRE","PRE0239391-0","Acocks, JPH","","15020","9/29/1948","Lophochloa pumila (Desf.) Bor","VANRHYNSDORP; STRANDFONTEIN; RAVINE FLOOR","-31.7581676800","18.2266030300","2k","3118CC","True",""
"PRE","PRE0209041-0","Acocks, JPH","","18551","9/25/1955","Dimorphotheca tragus (Aiton) B.Nord.","CALVINIA DIV.; LOKENBURG; ON TOP OF STINKFONTEIN HILLS","-31.7152466100","19.2327962600","2k","3119CA","True",""
"PRE","PRE1008778-0","Acocks, JPH","","11010","","Selaginella kraussiana (Kunze) A.Braun","","","","","","",""
"PRE","PRE0226664-0","Acocks, JPH","","10676","10/15/1944","Senecio retrorsus DC.","WEENEN DIST.; TOP OF GRIFFINS HILL","-29.1038325600","29.9668100100","1000m","2929BB","True",""
"PRE","PRE0087113-0","Acocks, JPH","","16150","9/12/1951","Cheilanthes parviloba (Sw.) Sw.","BATHURST DIV.; HOPEWELL; S. OF SOUTHWELL KARIEGA VALLEY","-33.6001420000","26.6560350000","2k","3326DA","True",""
"PRE","PRE0743086-0","Acocks, JPH","","15484","9/25/1949","Podalyria myrtillifolia (Retz.) Willd.","BREDASDORP; ZOETENDALS VLEI; SOUTH END","-34.7498153200","19.9873264700","2k","3419DB","True","Straggling shrubs, up to 3'. Flowers white, becoming pale purple with age."
"PRE","PRE0375990-0","Acocks, JPH","","16026","9/3/1951","Protea tenax (Salisb.) R.Br.","UNIONDALE DIV.; 8 MI. SW. OF UNIONDALE","-33.6882160000","23.0031420000","2k","3323CA","True",""
"PRE","PRE0223317-0","Acocks, JPH","","14718","9/12/1948","Berkheya fruticosa (L.) Ehrh.","VAN RHYNSDORP DIV.; VAN RHYNS PASS","-31.3935426800","19.0266729500","2k","3119AC","True","2'- 3'shrubs, los. grey, reads yellow"
"PRE","PRE0453144-0","Acocks, JPH","","14847","9/20/1948","Pelargonium carnosum (L.) L'Her. subsp. carnosum","VAN RHYNSDORP DIV.; ZANDKRAAL","-31.7005600000","18.7427800000","2k","3118DA","True",""
"PRE","PRE0333875-0","Acocks, JPH","","10991","12/23/1944","Asclepias crispa var. pseudocrispa N.E.Br.","EAST LONDON DIST.; GONUBIE SPRINGS","-32.9361100000","28.0316700000","10k","3228CC","True",""
"PRE","PRE0399435-0","Acocks, JPH","","14273","3/29/1948","Limeum dinteri G.Schellenb.","KENHARDT DIST; KAKAMAS COMMONAGE","-28.8291153000","20.6113367000","5k","2820DC","True",""
"PRE","PRE0148895-0","Acocks, JPH","","1798","02/1937","Solanum supinum Dunal var. supinum","HAY DIV.; VAALWATER","-29.0807615700","22.8203074100","2k","2922BB","True",""
"PRE","PRE0293468-0","Acocks, JPH","","22044","2/21/1962","Alepidea amatymbica Eckl. & Zeyh. var. amatymbica","UNDERBERG DIST.; 20 MI. SSW. OF UNDERBERG","-29.9265826500","29.3876124000","2k","2929CD","True",""
"PRE","PRE0197766-0","Acocks, JPH","","16894","8/22/1953","Eriocephalus eximius DC.","FRASERBURG DIV.; 10 MI. W. BY S. OF FRASERBURG","-31.9639477600","21.3393692300","2k","3121CD","True",""
"PRE","PRE0400023-0","Acocks, JPH","","13354","2/22/1947","Cryptocarya wyliei Stapf","PORT EDWARD; 1.5 MI N OF PORT EDWARD P O","-31.0378440000","30.1856660000","1000m","3130AA","True","10 feet shrub; berries red."
"PRE","PRE0186380-0","Acocks, JPH","","13926","11/16/1947","Pegolettia tenuifolia Bolus","WATERBERG DIST.; WARMBATHS; 6 MI. NNE. OF WARMBATHS","-24.8155430000","28.3457980000","2k","2428CD","True",""
"PRE","PRE0098335-0","Acocks, JPH","","1925","3/10/1937","Ornithoglossum dinteri K.Krause","HERBERT DIV.; READS DRIFT; BELOW KAAP PLATEAU.","-29.2715778900","23.3922412800","2k","2923AD","True",""
"PRE","PRE0158537-0","Acocks, JPH","Hafstrom, AHF","1186","9/20/1938","Aptosimum spinescens (Thunb.) Emil Weber","CARNARVON; DOLERITE KOPPIES","-30.9668310800","22.1294555200","5k","3022CC","True",""
"PRE","PRE0260221-0","Acocks, JPH","","21262","8/3/1960","Agathosma pilifera Schltdl.","UITENHAGE DIV.; 15 MI. UP ELANDS RIVER RD.","-33.7629100000","25.1287350000","2k","3325CC","True",""
"PRE","PRE0447977-0","Acocks, JPH","","20928","11/21/1959","Sphenostylis marginata E.Mey. subsp. marginata","GROBLERSDAL DIST.; 26.2 MI NE OF GROBLERSDAL","-25.0048720000","29.7052720000","2k","2529BA","True",""
"PRE","PRE0236013-0","Acocks, JPH","","16946","8/26/1953","Senecio erysimoides DC.","SUTHERLAND DIV.; KLIPBANKSRIVER; NW. ROGGEVELD FOOTHILLS","-32.5137474200","20.3424605700","2k","3220CB","True",""
"PRE","PRE0312802-0","Acocks, JPH","Hafstrom, AHF","2015","11/26/1938","Erica curviflora var. splendens (J.C.Wendl.) Dulfer","FRANCH HOEK PASS; FOOT OF FRANCH HOEK PASS E. SIDE","-33.9494730000","19.1726360000","2k","3319CC","True",""
"PRE","PRE0046778-0","Acocks, JPH","","17204","9/23/1953","Drimia fragrans (Jacq.) J.C.Manning & Goldblatt","SUTHERLAND DIST.; 20 MI. E. BY N. OF SUTHERLAND","-32.3273723100","20.9790653900","2k","3220BD","True",""
"PRE","PRE0382092-0","Acocks, JPH","","16044","9/3/1951","Thesium foliosum A.DC.","UNIONDALE DIV.; PRINCE ALFREDS PASS; TOP OF PASS","-33.7550880000","23.1610660000","2k","3323CC","True",""
"PRE","PRE0220184-0","Acocks, JPH","","10621","9/24/1944","Gazania krebsiana subsp. serrulata (DC.) Roessler","ESTCOURT DIST.; ENNERSDALE","-28.9846104000","29.7779024200","2k","2829DD","True",""
"PRE","PRE0036250-0","Acocks, JPH","","16552","11/13/1952","Pentameris pallida (Thunb.) Galley & H.P.Linder","MIDDELBURG DIST.; GORDONVILLE; SNEEUBERG","-31.7420573800","24.6914094600","2k","3124DA","True",""
"PRE","PRE0558227-0","Acocks, JPH","Naude","4","02/1942","Fuirena pubescens (Poir.) Kunth var. pubescens","WATERBERG DIST.; NOOITGEDACHT.","-24.5324990000","28.5658490000","10k","2428DA","True",""
"PRE","PRE0346823-0","Acocks, JPH","","22018","2/19/1962","Aspidoglossum woodii (Schltr.) Kupicha","NEW HANOVER DIST.; 2.7 MI. NNE. OF TOWN","-29.3266710000","30.5396550000","1000m","2930BC","True",""
"PRE","PRE0223639-0","Acocks, JPH","Hafstrom, AHF","1790","10/26/1938","Senecio mbuluzensis Compton","BARBERTON DIST.; TOP OF PASS BETW. BARBERTON AND STOLZENFELS","-25.7623600000","30.8120070000","2k","2530DD","True",""
"PRE","PRE0220143-0","Acocks, JPH","Hafstrom, AHF","1576","10/3/1938","Gazania krebsiana subsp. serrulata (DC.) Roessler","WATERBERG DIST.; NYLSTROOM; SLOPES 9 MI. W. OF NYLSTROOM","-24.6527090000","28.2841500000","5k","2428CB","True",""
"PRE","PRE0440395-0","Acocks, JPH","","22497","7/27/1962","Cliffortia arcuata Weim.","POTBERG; ON N. SIDE","-34.3683766400","20.6029963100","2k","3420BC","True",""
"PRE","PRE0417387-0","Acocks, JPH","","1557","10/14/1949","Cleome suffruticosa Schinz","KEETMANSHOOP DIST.; 8 MI. E. OF TOWN","-26.5713240000","18.2334290000","2k","2618CA","True",""
"PRE","PRE0226496-0","Acocks, JPH","","12987","10/10/1946","Senecio glaberrimus DC.","ENTONJANENI DIST.; IMFULI VALLEY; 8 MI. W. OF BUJELA STORE","-28.5206753600","31.4349635100","2k","2831CB","True",""
"PRE","PRE0030104-0","Acocks, JPH","","8905","06/1942","Eragrostis planiculmis Nees","STUTTERHEIM; DOHNE P. R. STA.","-32.5283606500","27.4641707900","1000m","3227CB","True",""
"PRE","PRE0140379-0","Acocks, JPH","","20485","5/22/1959","Lycium cinereum Thunb.","16.5 MI. SWS. OF OUDTSHOORN;  IN VALLEYS","-33.7363690000","22.1066150000","2k","3322CA","True","HT: 4.00, HTUNIT: ft; GRFRMS: Shrub"
"PRE","PRE0016296-0","Acocks, JPH","","29","3/3/1936","Aristida congesta subsp. barbicollis (Trin. & Rupr.) De Winter","KIMBERLEY DIV.; MAURITZFONTEIN","-28.8940215700","24.7527949000","2k","2824DD","True",""
"PRE","PRE0204041-0","Acocks, JPH","","12204","11/20/1945","Helichrysum chionosphaerum DC.","MATATIELE DIST; CEDARVILLE; TOP OF INUNGI PASS S. OF CEDARVILLE","-30.5224724200","29.0520645700","2k","3029CA","True",""
"PRE","PRE0440167-0","Acocks, JPH","Hafstrom, AHF","559","9/8/1938","Alchemilla capensis Thunb.","RHODES MEMORIAL; SLOPES ABOVE","-33.9522010000","18.4589000000","500m","3318CD","True",""
"NH","NH0034539-0","Acocks, JPH","","9986","12/17/1943","Vigna vexillata (L.) A.Rich. var. vexillata","Ladysmith Commonage.","-28.5820360000","29.7617060000","5k","2829DB","True","Trailing. Flrs. pale pink."
"NH","NH0121460-0","Acocks, JPH","","13994","01/1948","Aloe minima Baker","Weenen County. Top of Umhlumba Mountain.","-28.8995235700","30.2342254800","5k","2830CC","True","Rare"
"PRE","PRE0256344-0","Acocks, JPH","","23668","6/18/1965","Polygala teretifolia L.f.","LAINGSBURG DIV.; KLIPFONTEIN; KRUIS RIVER","-32.8360000000","21.1112211000","2k","3221CC","True",""
"PRE","PRE0289155-0","Acocks, JPH","","14890","9/21/1948","Hermannia sisymbriifolia (Turcz.) Hochr.","VAN RHYNSDORP DIV.; GIFBERG PLATEAU","-31.7685921700","18.7717980300","2k","3118DD","True",""
"PRE","PRE0195184-0","Acocks, JPH","","23828","2/15/1966","Wahlenbergia undulata (L.f.) A.DC.","HARRISMITH DIST.; 8 MI. SSW. OF HARRISMITH","-28.3359200000","29.0865490000","2k","2829AC","True",""
"PRE","PRE0307906-0","Acocks, JPH","","16660","1/13/1953","Lasiosiphon rubescens (B.Peterson) J.C.Manning & Magee","KRUGER NAT. PARK; SKUKUZA; 4 MI. W. OF SKUKUZA CAMP NR. RIVER","-24.9964610000","31.5151700000","2k","2431DC","True","Flowers bright red-orange."
"PRE","PRE0196225-0","Acocks, JPH","","11292","3/10/1945","Schistostephium crataegifolium (DC.) Fenzl ex Harv.","PRETORIA DIST.; RIETVLEI PAST. RES.; RIETVLEI 221 N. PORTION","-25.8558000000","28.3122000000","1000m","2528CD","True",""
"PRE","PRE0001802-0","Acocks, JPH","","16789","1/21/1953","Leptochloa panicea (Retz.) Ohwi","ZOUTPANSBERG DIST.; PAFURI AREA","-22.4284830000","31.3096450000","2k","2231AD","True",""
"PRE","PRE0041959-0","Acocks, JPH","","16479","9/25/1952","Pentaschistis capillaris (Thunb.) McClean","NAMAQUALAND; KAMIESKROON; 7 MI N. BY W. OF KAMIESKROON","-30.1073160000","17.9159540000","2k","3017BB","True",""
"PRE","PRE0191375-0","Acocks, JPH","","19404","8/23/1957","Helichrysum hebelepis DC.","NAMAQUALAND; NIGRAMOEP; 2.5 MI. N. BY E. OF NIGRAMOEP","-29.5045340000","17.6032520000","1000m","2917DA","True","Flowers: Golden yellow."
"PRE","PRE0392833-0","Acocks, JPH","","20870","11/19/1959","Pearsonia aristata (Schinz) Dummer","GROBLERSDAL DIST.; 1.2 MI. S. BY W. OF MONSTERLUS POST OFFICE","-25.0548620000","29.7271600000","1000m","2529BA","True",""
"PRE","PRE0458390-0","Acocks, JPH","","17043","8/29/1953","Cliffortia juniperina L.f. var. juniperina","CALVINIA DIV.; LOKENBURG","-31.6951841600","19.1896762400","2k","3119CA","True",""
"PRE","PRE0446928-0","Acocks, JPH","","20852","11/15/1959","Vigna vexillata (L.) A.Rich. var. vexillata","HEIDELBERG DIST.; SUIKERBOSRAND SPRUIT; 11.3 MI S OF HEIDELBERG","-26.6412482900","28.3773936400","2k","2628CB","True",""
"PRE","PRE0027887-0","Acocks, JPH","","21030","1/30/1960","Diandrochloa namaquensis (Nees) De Winter","VEREENIGING DIST.; VAAL DAM; BELOW VAALDAM","-26.8727623600","28.1201998900","2k","2628CC","True",""
"NBG","NBG0081486-0","Acocks, JPH","","4953","03/1937","Eragrostis annulata Rendle ex Scott-Elliot","Herbet division.  A few miles east of Douglas.","-29.0544405600","23.8332443100","2k","2923BB","True",""
"PRE","PRE0411685-0","Acocks, JPH","","15823","4/26/1950","Lepidium africanum subsp. divaricatum (Aiton) Jonsell","RICHMOND DIST.; RHENOSTERFONTEIN; S OF RICHMOND","-32.2039200000","22.5366190000","2k","3222BA","True",""
"PRE","PRE0268332-0","Acocks, JPH","","20014","11/17/1958","Muraltia squarrosa (L.f.) DC.","UNIONDALE DIV.; JOUBERTINA; 4 MI. N. BY W. OF JOUBERTINA","-33.7919872400","23.8327048700","2k","3323DD","True",""
"NH","NH0034882-0","Acocks, JPH","","10063","1/28/1944","Aloe cooperi Baker","Weenen County: Estcourt Pasture Research Station.","-29.0235218800","29.8651008900","2k","2929BB","True",""
"PRE","PRE0406519-0","Acocks, JPH","","22840","9/27/1962","Aspalathus sp.","POTBERG; N SIDE","-34.3683766400","20.6029963100","2k","3420BC","True",""
"PRE","PRE0421067-0","Acocks, JPH","","2497","10/11/1937","Boscia albitrunca (Burch.) Gilg & Gilg-Ben.","VRYBURG; ON N. BANK OF MASHOWING RIVER OPPOSITE DEORHAM","-26.8552950000","23.5862430000","2k","2623DC","True",""
"PRE","PRE0132543-0","Acocks, JPH","","20880","11/19/1959","Syncolostemon pretoriae (Gurke) D.F.Otieno","GROBLERSDAL DIST.; MONSTERLUS P O; 1 2 MI SW OF MONSTERLUS PO","-25.0363661600","29.7227632300","2k","2529BA","True",""
"NH","NH0036361-0","Acocks, JPH","","11433","4/19/1945","Helichrysum hypoleucum Harv.","Weenen city.  draycott hill","-28.9969137400","29.7068321100","2k","2829DC","True","Steep bushy S. slopes, freq in patches.  3' shrubs."
"PRE","PRE0001918-0","Acocks, JPH","","8497","12/24/1937","Setaria sphacelata (Schumach.) Stapf & C.E.Hubb. ex M.B.Moss var. sphacelata","BLOEMFONTEIN","-29.1215000000","26.2243000000","50k","2926AA","True",""
"PRE","PRE0022449-0","Acocks, JPH","","23768","9/17/1965","Ehrharta melicoides Thunb.","CERES DIV.; HOTTENTOTSKLOOF","-33.2581500000","19.6172090000","2k","3319BC","True",""
"PRE","PRE0111365-0","Acocks, JPH","","2083","3/15/1937","Cyperus usitatus Burch.","HAY DIV.; PADKLOOF; A FEW MI. W. OF THE LANGEBERGEN NEAR PADKLOOF.","-28.7001784800","22.3985326800","2k","2822CB","True",""
"PRE","PRE0419198-0","Acocks, JPH","","10169","3/8/1944","Argyrolobium tomentosum (Andrews) Druce","WEENEN COUNTY; COMMONGE SHADY VALLEY","-28.8446723700","30.0065652000","2k","2830CC","True",""
"PRE","PRE0045073-0","Acocks, JPH","","23889","5/28/1967","Albuca setosa Jacq.","UITENHAGE DIV.; AMANZI","-33.7070970100","25.5167284500","2k","3325DA","True",""
"PRE","PRE0293558-0","Acocks, JPH","","20172","1/15/1959","Agrocharis melanantha Hochst.","Barkly East, Saalboom Nek, 13.4 m. SSE. of Clifford Post Office.","-31.2331255500","27.5302503800","2k","3127BA","True",""
"PRE","PRE0308172-0","Acocks, JPH","","13818","9/17/1947","Lasiosiphon polyanthus (Gilg) C.H.Wright","ENGCOBO DIST.; GULVENI PASS","-31.6098600000","27.9751820000","2k","3127DB","True","Sprawling, silvery shrub of 60 cm high. Flowers yellow."
"PRE","PRE0349770-0","Acocks, JPH","","20887","11/19/1959","Pachycarpus asperifolius Meisn.","GROBLERSDAL DIST.; MONSTERLUS P.O.; 4.4 MI. S. BY W. OF P.O.","-25.0903360000","29.7277660000","1000m","2529BA","True",""
"PRE","PRE0065394-0","Acocks, JPH","","17719","9/25/1954","Asparagus multituberosus R.A.Dyer","CALVINIA DIV.; AKKERENDAM; HANTAM MT.","-31.4179800000","19.7894590000","2k","3119BD","True",""
"PRE","PRE0352153-0","Acocks, JPH","","17705","6/13/1954","Roepera maritima (Eckl. & Zeyh.) Beier & Thulin","BATHURST DIV.; PORT ALFRED; ON W. BANK","-33.6039900000","26.8976100000","2k","3326DB","True","Sprawling [herb] with glaucous [leaves]"
"PRE","PRE0444567-0","Acocks, JPH","","19947","11/15/1958","Cliffortia burchellii Stapf","UNIONDALE DIV.; PRINCE ALFREDS PASS; S SIDE NR TOP","-33.7959740000","23.1796890000","2k","3323CC","True",""
"PRE","PRE0271116-0","Acocks, JPH","","13701","4/29/1947","Diosma prama I.Williams","HUMANSDORP DIV.; COMBRINK; ABOVE COMBRINK","-33.6527632900","24.4286536000","2k","3324CB","True","A slender, erect, twiggy shrub, 90 cm to 1.2 m high. [Leaves] yellow-green. Flowers white."
"NBG","NBG0060270-0","Acocks, JPH","","19465","8/28/1957","Hesperantha pauciflora (Baker) G.J.Lewis","Namaqualand. Grootvlei W. of Kamieskroon.","-30.2228449500","17.8193123900","5k","3017BB","True",""
"PRE","PRE0141603-0","Acocks, JPH","","12610","5/6/1946","Zaluzianskya karrooica Hilliard","DE AAR; QUAGGAFONTEIN","-30.6128420000","23.7646540000","2k","3023DB","True",""
"PRE","PRE0224984-0","Acocks, JPH","","16458","9/23/1952","Senecio scapiflorus (L'Her.) C.A.Sm.","NAMAQUALAND; KAMIESKROON; GROOTVLEI W. OF KAMIESKROON","-30.2072900000","17.7958030000","2k","3017BB","True",""
"PRE","PRE0285479-0","Acocks, JPH","Hafstrom, AHF","900","9/1/1938","Phylica cephalantha Sond.","BRACKENFELL","-33.8822710000","18.7216940000","5k","3318DC","True",""
"PRE","PRE0061955-0","Acocks, JPH","","1404","11/19/1936","Asparagus exuvialis Burch. f. exuvialis","KIMBERLEY DIV.; DORSTFONTEIN; BELOW THE MINE DUMPS","-28.7359745600","24.8155532200","5k","2824DB","True",""
"PRE","PRE0162314-0","Acocks, JPH","Hafstrom, AHF","1268","9/3/1938","Microdon polygaloides (L.f.) Druce","CLANWILLIAM DIV.; ELANDS KLOOF PASS","-32.6175350000","19.1285410000","2k","3219CA","True",""
"PRE","PRE0369222-0","Acocks, JPH","","10829","12/6/1944","Rumex lanceolatus Thunb.","MOUNT FRERE; WEENEN DIST.; BRAKFONTEIN","-28.9210863800","29.8110595200","2k","2829DD","True",""
"PRE","PRE0116094-0","Acocks, JPH","","12172","11/17/1945","Bowkeria verticillata (Eckl. & Zeyh.) Druce","TSOLO DIST.; MACLEAR; NTYWENKA PASS 20 MI. ESE. OF MACLEAR","-31.1807310000","28.5870470000","2k","3128BA","True",""
"PRE","PRE0261635-0","Acocks, JPH","Hafstrom, AHF","2186","12/9/1938","Polygala ericaefolia DC.","CALEDON; HERMANUS; LIMESTONE HILLS BEHIND DE KELDERS","-34.5574816600","19.4439559900","5k","3419CB","True",""
"PRE","PRE0156157-0","Acocks, JPH","","21145","7/6/1960","Selago burchellii Rolfe","W. PART OF ROBBERG PENINSULA","-34.0999100000","23.3750530000","2k","3423AB","True",""
"PRE","PRE0873130-0","Acocks, JPH","","22621","8/25/1962","Berzelia abrotanoides (L.) Brongn.","13 MI S OF BREDASDORP","-34.6914690000","20.0333560000","2k","3420CA","True","3-4' virgate."
"PRE","PRE0193408-0","Acocks, JPH","","23241","12/20/1962","Wahlenbergia ecklonii H.Buek","SWELLENDAM DIV.; HESSEQUAS POORT","-34.0997312800","20.2232783700","2k","3420AA","True",""
"PRE","PRE0087068-0","Acocks, JPH","","21110","7/5/1960","Cheilanthes multifida (Sw.) Sw. var. multifida","UNIONDALE DIV.; PRINCE ALFREDS PASS; GORGE AT S. END","-33.7959740000","23.1796890000","2k","3323CC","True",""
"PRE","PRE0175005-0","Acocks, JPH","","9051","9/10/1942","Gamochaeta pensylvanica (Willd.) Cabrera","STUTTERHEIM DIV.; DOHNE RESEARCH STATION.","-32.5283606500","27.4641707900","1000m","3227CB","True",""
