"MuseumCode","Barcode","Collectors","AdditionalCollectors","FieldNumber","Date","CalcFullName","LocalityNotes","Latitude","Longitude","LLResolution","QDS","LLChecked","DescriptionText"
"PRE","PRE0386873-0","Acocks, JPH","","16658","1/13/1953","Vachellia grandicornuta (Gerstner) Seigler & Ebinger","KRUGER NAT. PARK; SKUKUZA; 1.5 MI. W. OF SKUKUZA","-24.9988410000","31.5734980000","1000m","2431DC","True","20' spreading tree"
"PRE","PRE0362038-0","Acocks, JPH","","13212","11/21/1946","Paranomus bracteolaris Salisb. ex Knight","CALVINIA DIV.; NIEUWOUDTVILLE PLATE","-31.3821617000","19.0731807800","2k","3119AC","True",""
"PRE","PRE0220348-0","Acocks, JPH","","18530","9/23/1955","Senecio erosus L.f.","CALVINIA DIV.; NIEUWOUDTVILLE; 4.5 MI. W. OF NIEUWOUDTVILLE","-31.3730600000","19.0491700000","2k","3119AC","True",""
"PRE","PRE0458048-0","Acocks, JPH","","14732","9/13/1948","Leobordea pentaphylla (E.Mey.) B.-E.van Wyk & Boatwr.","VAN RHYNSDORP DIV.; ZANDKRAAL","-31.7005600000","18.7427800000","2k","3118DA","True",""
"PRE","PRE0237048-0","Acocks, JPH","","13824","9/18/1947","Felicia petiolata (Harv.) N.E.Br.","LADY GREY DIST.; FOURTH REVERSE STA.; EDGE OF KARNMELK SPRUIT NR. 4TH REVERSE STA,","-30.8001000000","27.2511990000","5k","3027CD","True",""
"PRE","PRE0013276-0","Acocks, JPH","Naude","27","02/1942","Aristida diffusa subsp. burkei (Stapf) Melderis","WATERBERG; NOOITGEDACHT 699","-24.5324990000","28.5658490000","10k","2428DA","True",""
"PRE","PRE0114895-0","Acocks, JPH","","12274","2/9/1945","Anastrabe integerrima E.Mey. ex Benth.","WILLOWVALE DIST.","-32.2632850000","28.4944220000","5k","3228AD","True",""
"PRE","PRE0404014-0","Acocks, JPH","","17795","10/18/1954","Heliophila seselifolia var. marlothii (O.E.Schulz) Marais","ROGGEVELD MTS.; SUTHERLAND; THERONSRUST 20 MI S OF SUTHERLAND MT","-32.6416385100","20.7608440800","2k","3220DB","True",""
"NBG","NBG0156665-0","Acocks, JPH","","15428","9/2/1949","Erica anguliger (N.E.Br.) E.G.H.Oliv.","Riversdale Div. Garcia's Pass.","-33.9501040000","21.2300470000","2k","3321CC","True",""
"NH","NH0151928-0","Acocks, JPH","","10725","10/27/1944","Dyschoriste setigera (Pers.) J.C.Manning & Goldblatt","Weenen County; Weenen Veld Reserve.","","","","","","Erect shrublets."
"PRE","PRE0142103-0","Acocks, JPH","","23698","9/12/1965","Lobostemon paniculatus (Thunb.) H.Buek","CERES DIV.; PIENAARS KLOOF; POORT/N. OF PIENAARSKLOOF","-33.1810331900","20.1606501000","2k","3320AA","True",""
"PRE","PRE0204540-0","Acocks, JPH","","19484","9/17/1957","Eriocephalus ericoides (L.f.) Druce subsp. ericoides","SUTHERLAND DIV.; 27 ME. ENE. OF SUTHERLAND","-32.2531808900","21.0464439900","2k","3221AC","True",""
"PRE","PRE0262210-0","Acocks, JPH","","11574","7/13/1945","Tragiella natalensis (Sond.) Pax & K.Hoffm.","VRYHEID DIST.; HILLS BEHIND town","-27.7542337300","30.7855316800","2k","2730DD","True","Climber with stinging hairs. [Flowers]: pale yellow-green"
"PRE","PRE0159043-0","Acocks, JPH","","18720","2/5/1956","Anthospermum hispidulum E.Mey. ex Sond.","KRUGERSDORP DIST.; 4 MI. NE. OF KRUGERSDORP","-26.0630600000","27.8216700000","2k","2627BB","True",""
"PRE","PRE0261064-0","Acocks, JPH","Hafstrom, AHF","887","9/29/1938","Gymnosporia buxifolia (L.) Szyszyl.","POTCHEFSTROOM DIST.; NR. POTCHEFSTROOM ON KOPPIE","-26.7137190000","27.0951320000","2k","2627CA","True",""
